City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,yokadouma,3.5167,15.05,68.07,93,93,1.03,CM,1662757884
130,tilichiki,60.4667,166.1,48.94,96,100,4.32,RU,1662758110
131,ntcheu,-14.8203,34.6359,63.86,49,2,1.39,MW,1662758110
132,kaduqli,11.0167,29.7167,71.56,88,97,3.06,SD,1662758111
133,vao,-22.6667,167.4833,71.89,82,94,10.16,NC,1662758111
134,richards bay,-28.783,32.0377,66.29,95,5,2.55,ZA,1662758112
135,pontian kecil,1.4801,103.3899,75.52,87,100,4.23,MY,1662758112
136,lashio,22.9333,97.75,68.27,99,99,1.92,MM,1662758113
137,vila,42.0304,-8.1588,59.7,79,7,1.83,PT,1662758113
138,nalut,30.3333,10.85,88.3,23,0,11.95,LY,1662758114
139,krasnyy profintern,57.7446,40.435,35.62,71,88,7.14,RU,1662758114
140,harper,4.375,-7.7169,75.96,84,49,9.75,LR,1662758115
141,chokurdakh,70.6333,147.9167,39.85,92,100,10.0,RU,1662758115
142,tiznit,29.5833,-9.5,79.65,42,15,0.58,MA,1662758116
143,katsuura,35.1333,140.3,75.92,84,86,16.87,JP,1662758116
144,caravelas,-17.7125,-39.2481,69.67,71,0,6.71,BR,1662758116
145,adrar,20.5022,-10.0711,100.83,13,44,5.64,MR,1662758117
146,susanville,40.4163,-120.653,82.24,11,0,5.75,US,1662758118
147,yumen,40.2833,97.2,65.43,15,0,2.24,CN,1662758118
148,bandarbeyla,9.4942,50.8122,77.36,83,92,19.93,SO,1662758119
149,lata,40.1629,-8.3327,69.93,79,31,2.1,PT,1662758119
150,te anau,-45.4167,167.7167,38.43,88,48,0.96,NZ,1662758119
151,marseille,43.3333,5.5,69.6,61,6,5.01,FR,1662758089
152,grindavik,63.8424,-22.4338,53.55,100,100,8.05,IS,1662758120
153,castro,-24.7911,-50.0119,68.81,67,0,4.76,BR,1662758009
154,cabedelo,-6.9811,-34.8339,77.67,76,58,10.98,BR,1662758121
155,kiama,-34.6833,150.8667,60.26,87,99,6.89,AU,1662758121
156,komsomolskiy,40.4272,71.7189,70.52,52,0,6.91,UZ,1662758122
157,whitehorse,60.7161,-135.0538,61.57,44,75,19.57,CA,1662758066
158,fare,-16.7,-151.0167,78.17,76,25,24.67,PF,1662758123
159,qaqortoq,60.7167,-46.0333,45.86,73,97,2.53,GL,1662758123
160,san cristobal,7.7669,-72.225,84.38,61,69,6.51,VE,1662757879
161,isangel,-19.55,169.2667,77.14,78,75,10.96,VU,1662758124
162,esperance,-33.8667,121.9,52.16,79,43,8.88,AU,1662758124
163,yellowknife,62.456,-114.3525,52.32,54,20,6.91,CA,1662758038
164,srednekolymsk,67.45,153.6833,43.56,90,100,10.31,RU,1662758125
165,key largo,25.0865,-80.4473,90.0,70,51,11.34,US,1662758076
166,grand gaube,-20.0064,57.6608,70.38,69,29,7.0,MU,1662758126
167,bambanglipuro,-7.95,110.2833,75.02,91,100,2.84,ID,1662758126
168,havoysund,70.9963,24.6622,48.43,94,100,20.69,NO,1662758126
169,san quintin,30.4833,-115.95,73.11,85,100,27.13,MX,1662758127
170,aljezur,37.3191,-8.8033,67.55,95,11,9.04,PT,1662758127
171,eldorado,-23.7869,-54.2836,87.08,35,43,6.35,BR,1662758128
172,porto novo,6.4965,2.6036,78.62,84,17,7.54,BJ,1662758128
173,kerchevskiy,59.946,56.2884,40.42,87,98,4.21,RU,1662758129
174,roald,62.5833,6.1333,55.76,93,0,2.3,NO,1662758129
175,homer,59.6425,-151.5483,53.49,78,100,11.01,US,1662757920
176,mareeba,-17.0,145.4333,67.44,96,4,1.83,AU,1662758130
177,solnechnyy,50.7214,136.6319,49.08,72,14,5.55,RU,1662758130
178,namatanai,-3.6667,152.4333,79.7,76,84,6.76,PG,1662758131
179,axim,4.8699,-2.2405,74.32,91,66,7.52,GH,1662758131
180,yenagoa,4.9247,6.2642,75.18,91,96,4.09,NG,1662758132
181,husavik,66.0449,-17.3389,56.01,75,50,8.61,IS,1662758132
182,nizwa,22.9333,57.5333,80.85,57,2,2.71,OM,1662758133
183,mayo,38.8876,-76.5119,84.15,50,0,5.75,US,1662758133
184,kodiak,57.79,-152.4072,56.71,51,100,19.57,US,1662758134
185,launceston,-41.45,147.1667,53.24,97,75,5.75,AU,1662758134
186,dolores,-36.3132,-57.6792,48.27,57,91,14.99,AR,1662758134
187,yar-sale,66.8333,70.8333,39.96,79,99,6.78,RU,1662758135
188,cockburn town,21.4612,-71.1419,84.36,68,36,8.12,TC,1662758135
189,yako,12.9667,-2.2667,75.65,83,100,6.02,BF,1662758136
190,tibu,8.639,-72.7358,92.26,50,55,3.91,CO,1662758136
191,puerto ayacucho,5.6639,-67.6236,83.77,74,42,5.19,VE,1662758137
